za-co-constantiafabrics-www,38
ws-abc7ne,11
vg-legacy-www,32
us-va-reston-cnri-www,73
us-simplewater-www,28
us-rvdata-www,107
us-rvdata-schema,13
us-rvdata-data,17
us-jeffco,25
us-icio-del,13
us-glos,45
us-fed-fs-www,1
us-co-state-apcd,99
us-ccst-www,3
us-ccst-fellows,38
us-ca-k12-lausd-www,11
uk-org-taverna-www,70
uk-org-servicecatalogue-www,53
uk-org-rspsoc-learningzone,121
uk-org-mygrid-www,65
uk-org-mygrid-dev,97
uk-org-llgc-drwm,16
uk-org-gtj-www,34
uk-org-greenend-chiark-www,117
uk-org-ghgplatform-www,65
uk-org-floodrisk-www,79
uk-org-finds,19
uk-org-countrysidesurvey-www,70
uk-org-catapult-sa,88
uk-org-catapult-cde,14
uk-gov-www,27
uk-gov-metoffice-www,168
uk-gov-forestry-www,80
uk-gov-defra-archive,53
uk-co-wildemedia-www,71
uk-co-ukspace2015-www,79
uk-co-typepad-britishlibrary,49
uk-co-timeshighereducation-www,114
uk-co-thepetsite-www,71
uk-co-surreyenergyratings-www,91
uk-co-spreadshirt-chemistryworld,25
uk-co-rusu-www,63
uk-co-russ-hore-www,33
uk-co-proquest-www,12
uk-co-ordnancesurvey-www,74
uk-co-ncof-www,90
uk-co-nag-www,59
uk-co-ictmarketing-www,79
uk-co-google-www,90
uk-co-gogolek-www,40
uk-co-edfirst-www,15
uk-co-claire-www,93
uk-co-bbc-www,72
uk-bl-www,91
uk-ac-york-www,82
uk-ac-wessex-www,94
uk-ac-ukssdc-www,60
uk-ac-ukoln-www,123
uk-ac-uea-cru-www,101
uk-ac-surrey-ee-www,34
uk-ac-stfc-www,108
uk-ac-southampton-www,140
uk-ac-soton-www,14
uk-ac-soton-ses-wes2012,48
uk-ac-soton-ecs-www,33
uk-ac-soton-ecs-users,12
uk-ac-soton-cite-www,34
uk-ac-soton-blog,44
uk-ac-sherpa-www,12
uk-ac-scran-www,41
uk-ac-rl-sstd-www,16
uk-ac-rl-neodc-www,15
uk-ac-rl-jc-mon,15
uk-ac-rl-badc-www,13
uk-ac-rl-badc-proj,156
uk-ac-rl-badc-cows,33
uk-ac-rl-badc-cedadocs,57
uk-ac-rl-badc-ceda-wps2,101
uk-ac-rl-amdi,13
uk-ac-reading-www,119
uk-ac-reading-sport-www,54
uk-ac-reading-met-www,107
uk-ac-reading-fmd-www,53
uk-ac-rdg-resc-www,75
uk-ac-rapid-www,44
uk-ac-openurl,24
uk-ac-noc,84
uk-ac-nhm-www,45
uk-ac-nerc-www,139
uk-ac-nerc-valor,28
uk-ac-nerc-urgent,146
uk-ac-nerc-planetearth,21
uk-ac-nerc-nora,45
uk-ac-nerc-lancaster-lasigpublic,16
uk-ac-nerc-data-search,154
uk-ac-nerc-badc,167
uk-ac-nceo-www,120
uk-ac-ncas-www,13
uk-ac-mist-www,55
uk-ac-man-cs-ermitage,103
uk-ac-lse-blogs,34
uk-ac-liv-csc-www,13
uk-ac-leeds-www,23
uk-ac-leeds-see-www,87
uk-ac-leeds-ncasweb,13
uk-ac-leeds-findanexpert,22
uk-ac-le-www2,101
uk-ac-le-www,13
uk-ac-kcl-www,53
uk-ac-kcl-alumni,33
uk-ac-jiscmail-www,130
uk-ac-jisc-www,132
uk-ac-jasmin-www,76
uk-ac-faam-www,69
uk-ac-edina-digimap,55
uk-ac-edina-blogs,32
uk-ac-edina,79
uk-ac-ed-www,67
uk-ac-ed-unixhelp,79
uk-ac-ed-geos-www,51
uk-ac-ebi-www,37
uk-ac-data-archive,15
uk-ac-cetis-wiki,30
uk-ac-ceoi-www,103
uk-ac-ceh-www,113
uk-ac-ceh-wiki,4
uk-ac-ceh-gateway,22
uk-ac-ceh-eidchub,96
uk-ac-ceda-www,107
uk-ac-ceda-services,13
uk-ac-ceda-cows,49
uk-ac-ceda-cfeditor,50
uk-ac-ceda-catalogue,114
uk-ac-cam-www,12
uk-ac-cam-geog-www,53
uk-ac-cam-cl-www,121
uk-ac-cam-ch-ozone-sec-www,63
uk-ac-cam-ch-iupac-kinetic-www,17
uk-ac-cam-ch-atm-www,42
uk-ac-bris-quest,64
uk-ac-bodc-www,146
uk-ac-bgs-www,138
uk-ac-bath-www,104
uk-ac-bath-webmail,18
uk-ac-bas-www,73
uk-ac-ariadne-www,46
